Freq.	V(isensa)
5.85634278378261e+001	2.13308516083611e+000,-5.70117306564329e-003
5.89707686916452e+001	2.13308502191360e+000,-5.74082765115811e-003
5.93809428251631e+001	2.13308488105182e+000,-5.78075805173326e-003
5.97939699453987e+001	2.13308473822369e+000,-5.82096618572187e-003
6.02098698964438e+001	2.13308459340176e+000,-5.86145398481849e-003
6.06286626604171e+001	2.13308444655820e+000,-5.90222339415133e-003
6.10503683584235e+001	2.13308429766478e+000,-5.94327637237622e-003
6.14750072515217e+001	2.13308414669291e+000,-5.98461489177063e-003
6.19025997416968e+001	2.13308399361356e+000,-6.02624093832782e-003
6.23331663728412e+001	2.13308383839730e+000,-6.06815651185292e-003
6.27667278317413e+001	2.13308368101433e+000,-6.11036362605749e-003
6.32033049490714e+001	2.13308352143437e+000,-6.15286430866012e-003
6.36429187003948e+001	2.13308335962677e+000,-6.19566060147810e-003
6.40855902071710e+001	2.13308319556044e+000,-6.23875456052952e-003
6.45313407377714e+001	2.13308302920384e+000,-6.28214825613075e-003
6.49801917085001e+001	2.13308286052500e+000,-6.32584377299579e-003
6.54321646846238e+001	2.13308268949149e+000,-6.36984321034104e-003
6.58872813814072e+001	2.13308251607047e+000,-6.41414868196817e-003
6.63455636651567e+001	2.13308234022859e+000,-6.45876231639234e-003
6.68070335542709e+001	2.13308216193206e+000,-6.50368625692629e-003
6.72717132202985e+001	2.13308198114663e+000,-6.54892266178842e-003
6.77396249890036e+001	2.13308179783753e+000,-6.59447370420577e-003
6.82107913414379e+001	2.13308161196955e+000,-6.64034157251861e-003
6.86852349150217e+001	2.13308142350696e+000,-6.68652847028516e-003
6.91629785046307e+001	2.13308123241355e+000,-6.73303661638792e-003
6.96440450636914e+001	2.13308103865259e+000,-6.77986824514006e-003
7.01284577052843e+001	2.13308084218684e+000,-6.82702560639218e-003
7.06162397032539e+001	2.13308064297856e+000,-6.87451096564112e-003
7.11074144933271e+001	2.13308044098944e+000,-6.92232660413786e-003
7.16020056742393e+001	2.13308023618068e+000,-6.97047481899704e-003
7.21000370088680e+001	2.13308002851292e+000,-7.01895792331140e-003
7.26015324253744e+001	2.13307981794623e+000,-7.06777824625218e-003
7.31065160183536e+001	2.13307960444017e+000,-7.11693813319316e-003
7.36150120499916e+001	2.13307938795370e+000,-7.16643994581658e-003
7.41270449512313e+001	2.13307916844521e+000,-7.21628606222763e-003
7.46426393229462e+001	2.13307894587251e+000,-7.26647887706896e-003
7.51618199371226e+001	2.13307872019283e+000,-7.31702080163541e-003
7.56846117380493e+001	2.13307849136281e+000,-7.36791426398987e-003
7.62110398435167e+001	2.13307825933846e+000,-7.41916170908023e-003
7.67411295460228e+001	2.13307802407519e+000,-7.47076559886074e-003
7.72749063139893e+001	2.13307778552780e+000,-7.52272841239082e-003
7.78123957929846e+001	2.13307754365043e+000,-7.57505264598396e-003
7.83536238069559e+001	2.13307729839661e+000,-7.62774081330784e-003
7.88986163594705e+001	2.13307704971920e+000,-7.68079544550937e-003
7.94473996349646e+001	2.13307679757041e+000,-7.73421909133745e-003
8.00000000000018e+001	2.13307654190178e+000,-7.78801431726362e-003
8.05564440045393e+001	2.13307628266417e+000,-7.84218370760582e-003
8.11167583832042e+001	2.13307601980777e+000,-7.89672986465307e-003
8.16809700565773e+001	2.13307575328207e+000,-7.95165540878926e-003
8.22491061324872e+001	2.13307548303584e+000,-8.00696297862057e-003
8.28211939073121e+001	2.13307520901714e+000,-8.06265523110018e-003
8.33972608672916e+001	2.13307493117331e+000,-8.11873484165671e-003
8.39773346898473e+001	2.13307464945097e+000,-8.17520450432334e-003
8.45614432449124e+001	2.13307436379596e+000,-8.23206693186572e-003
8.51496145962708e+001	2.13307407415339e+000,-8.28932485591294e-003
8.57418770029054e+001	2.13307378046760e+000,-8.34698102708797e-003
8.63382589203562e+001	2.13307348268214e+000,-8.40503821514185e-003
8.69387890020867e+001	2.13307318073980e+000,-8.46349920909090e-003
8.75434961008612e+001	2.13307287458253e+000,-8.52236681732239e-003
8.81524092701309e+001	2.13307256415151e+000,-8.58164386777322e-003
8.87655577654297e+001	2.13307224938707e+000,-8.64133320803805e-003
8.93829710457797e+001	2.13307193022874e+000,-8.70143770551051e-003
9.00046787751069e+001	2.13307160661516e+000,-8.76196024752259e-003
9.06307108236660e+001	2.13307127848415e+000,-8.82290374148258e-003
9.12610972694761e+001	2.13307094577265e+000,-8.88427111501449e-003
9.18958683997650e+001	2.13307060841672e+000,-8.94606531609774e-003
9.25350547124252e+001	2.13307026635152e+000,-9.00828931321259e-003
9.31786869174787e+001	2.13306991951133e+000,-9.07094609547610e-003
9.38267959385526e+001	2.13306956782947e+000,-9.13403867279078e-003
9.44794129143647e+001	2.13306921123838e+000,-9.19757007598654e-003
9.51365692002200e+001	2.13306884966951e+000,-9.26154335696637e-003
9.57982963695166e+001	2.13306848305339e+000,-9.32596158886129e-003
9.64646262152632e+001	2.13306811131956e+000,-9.39082786614822e-003
9.71355907516061e+001	2.13306773439657e+000,-9.45614530483939e-003
9.78112222153679e+001	2.13306735221200e+000,-9.52191704260632e-003
9.84915530675957e+001	2.13306696469240e+000,-9.58814623893832e-003
9.91766159951214e+001	2.13306657176328e+000,-9.65483607529034e-003
9.98664439121314e+001	2.13306617334915e+000,-9.72198975523354e-003
1.00561069961749e+002	2.13306576937344e+000,-9.78961050461823e-003
1.01260527517625e+002	2.13306535975850e+000,-9.85770157172044e-003
1.01964850185544e+002	2.13306494442563e+000,-9.92626622740839e-003
1.02674071805035e+002	2.13306452329500e+000,-9.99530776526853e-003
1.03388226451002e+002	2.13306409628569e+000,-1.00648295018090e-002
1.04107348435357e+002	2.13306366331561e+000,-1.01348347766025e-002
1.04831472308672e+002	2.13306322430160e+000,-1.02053269523984e-002
1.05560632861834e+002	2.13306277915926e+000,-1.02763094153664e-002
1.06294865127724e+002	2.13306232780304e+000,-1.03477855752053e-002
1.07034204382892e+002	2.13306187014622e+000,-1.04197588653184e-002
1.07778686149258e+002	2.13306140610084e+000,-1.04922327429796e-002
1.08528346195817e+002	2.13306093557772e+000,-1.05652106894985e-002
1.09283220540354e+002	2.13306045848644e+000,-1.06386962103876e-002
1.10043345451182e+002	2.13305997473531e+000,-1.07126928355394e-002
1.10808757448877e+002	2.13305948423137e+000,-1.07872041193605e-002
1.11579493308035e+002	2.13305898688036e+000,-1.08622336409928e-002
1.12355590059043e+002	2.13305848258669e+000,-1.09377850044528e-002
1.13137084989851e+002	2.13305797125345e+000,-1.10138618388132e-002
1.13924015647769e+002	2.13305745278239e+000,-1.10904677983721e-002
1.14716419841269e+002	2.13305692707385e+000,-1.11676065628375e-002
1.15514335641803e+002	2.13305639402682e+000,-1.12452818374933e-002
1.16317801385628e+002	2.13305585353885e+000,-1.13234973533837e-002
1.17126855675653e+002	2.13305530550608e+000,-1.14022568674976e-002
1.17941537383291e+002	2.13305474982319e+000,-1.14815641629172e-002
1.18761885650327e+002	2.13305418638338e+000,-1.15614230490476e-002
1.19587939890798e+002	2.13305361507839e+000,-1.16418373617665e-002
1.20419739792889e+002	2.13305303579843e+000,-1.17228109636176e-002
1.21257325320835e+002	2.13305244843215e+000,-1.18043477439943e-002
1.22100736716848e+002	2.13305185286671e+000,-1.18864516193268e-002
1.22950014503044e+002	2.13305124898763e+000,-1.19691265332706e-002
1.23805199483395e+002	2.13305063667888e+000,-1.20523764569001e-002
1.24666332745683e+002	2.13305001582278e+000,-1.21362053888730e-002
1.25533455663483e+002	2.13304938630002e+000,-1.22206173556649e-002
1.26406609898144e+002	2.13304874798961e+000,-1.23056164117287e-002
1.27285837400790e+002	2.13304810076891e+000,-1.23912066397051e-002
1.28171180414343e+002	2.13304744451353e+000,-1.24773921506079e-002
1.29062681475544e+002	2.13304677909734e+000,-1.25641770840317e-002
1.29960383417001e+002	2.13304610439249e+000,-1.26515656083403e-002
1.30864329369249e+002	2.13304542026931e+000,-1.27395619208823e-002
1.31774562762815e+002	2.13304472659633e+000,-1.28281702481522e-002
1.32691127330314e+002	2.13304402324024e+000,-1.29173948460477e-002
1.33614067108543e+002	2.13304331006588e+000,-1.30072400000434e-002
1.34543426440598e+002	2.13304258693621e+000,-1.30977100254069e-002
1.35479249978008e+002	2.13304185371224e+000,-1.31888092673734e-002
1.36421582682877e+002	2.13304111025309e+000,-1.32805421013859e-002
1.37370469830044e+002	2.13304035641588e+000,-1.33729129333180e-002
1.38325957009262e+002	2.13303959205574e+000,-1.34659261996523e-002
1.39288090127384e+002	2.13303881702578e+000,-1.35595863677059e-002
1.40256915410570e+002	2.13303803117707e+000,-1.36538979358448e-002
1.41232479406509e+002	2.13303723435858e+000,-1.37488654337070e-002
1.42214828986655e+002	2.13303642641721e+000,-1.38444934223877e-002
1.43204011348480e+002	2.13303560719768e+000,-1.39407864946993e-002
1.44200074017737e+002	2.13303477654256e+000,-1.40377492753707e-002
1.45203064850750e+002	2.13303393429223e+000,-1.41353864212690e-002
1.46213032036708e+002	2.13303308028483e+000,-1.42337026216295e-002
1.47230024099984e+002	2.13303221435625e+000,-1.43327025982784e-002
1.48254089902464e+002	2.13303133634009e+000,-1.44323911058267e-002
1.49285278645894e+002	2.13303044606761e+000,-1.45327729319632e-002
1.50323639874246e+002	2.13302954336774e+000,-1.46338528976337e-002
1.51369223476100e+002	2.13302862806700e+000,-1.47356358572794e-002
1.52422079687034e+002	2.13302769998951e+000,-1.48381266990922e-002
1.53482259092047e+002	2.13302675895691e+000,-1.49413303452031e-002
1.54549812627980e+002	2.13302580478838e+000,-1.50452517519721e-002
1.55624791585970e+002	2.13302483730054e+000,-1.51498959101908e-002
1.56707247613913e+002	2.13302385630748e+000,-1.52552678453337e-002
1.57797232718942e+002	2.13302286162069e+000,-1.53613726178062e-002
1.58894799269930e+002	2.13302185304903e+000,-1.54682153231339e-002
1.60000000000005e+002	2.13302083039867e+000,-1.55758010922887e-002
1.61112888009080e+002	2.13301979347310e+000,-1.56841350919010e-002
1.62233516766409e+002	2.13301874207306e+000,-1.57932225244497e-002
1.63361940113156e+002	2.13301767599650e+000,-1.59030686286054e-002
1.64498212264976e+002	2.13301659503856e+000,-1.60136786794286e-002
1.65642387814625e+002	2.13301549899153e+000,-1.61250579886230e-002
1.66794521734584e+002	2.13301438764476e+000,-1.62372119048101e-002
1.67954669379696e+002	2.13301326078472e+000,-1.63501458137421e-002
1.69122886489826e+002	2.13301211819485e+000,-1.64638651386332e-002
