Freq.	a	b	gain
2.67586e+003	(-4.60387e+001dB,-8.80727e+001°)	(-8.46707e+001dB,-1.66201e+002°)	(3.86320e+001dB,7.81287e+001°)
2.69447e+003	(-4.60387e+001dB,-8.80593e+001°)	(-8.47612e+001dB,-1.66204e+002°)	(3.87226e+001dB,7.81450e+001°)
2.71321e+003	(-4.60387e+001dB,-8.80458e+001°)	(-8.48524e+001dB,-1.66206e+002°)	(3.88137e+001dB,7.81601e+001°)
2.73208e+003	(-4.60387e+001dB,-8.80323e+001°)	(-8.49441e+001dB,-1.66206e+002°)	(3.89054e+001dB,7.81741e+001°)
2.75108e+003	(-4.60387e+001dB,-8.80186e+001°)	(-8.50365e+001dB,-1.66206e+002°)	(3.89978e+001dB,7.81869e+001°)
2.77022e+003	(-4.60387e+001dB,-8.80048e+001°)	(-8.51295e+001dB,-1.66203e+002°)	(3.90908e+001dB,7.81986e+001°)
2.78949e+003	(-4.60387e+001dB,-8.79909e+001°)	(-8.52231e+001dB,-1.66200e+002°)	(3.91844e+001dB,7.82092e+001°)
2.80889e+003	(-4.60387e+001dB,-8.79771e+001°)	(-8.53173e+001dB,-1.66195e+002°)	(3.92786e+001dB,7.82183e+001°)
2.82843e+003	(-4.60387e+001dB,-8.79630e+001°)	(-8.54122e+001dB,-1.66190e+002°)	(3.93735e+001dB,7.82265e+001°)
2.84810e+003	(-4.60387e+001dB,-8.79488e+001°)	(-8.55077e+001dB,-1.66182e+002°)	(3.94690e+001dB,7.82334e+001°)
2.86791e+003	(-4.60387e+001dB,-8.79345e+001°)	(-8.56039e+001dB,-1.66174e+002°)	(3.95652e+001dB,7.82391e+001°)
2.88786e+003	(-4.60386e+001dB,-8.79201e+001°)	(-8.57008e+001dB,-1.66164e+002°)	(3.96621e+001dB,7.82436e+001°)
2.90795e+003	(-4.60386e+001dB,-8.79056e+001°)	(-8.57983e+001dB,-1.66152e+002°)	(3.97597e+001dB,7.82466e+001°)
2.92817e+003	(-4.60386e+001dB,-8.78910e+001°)	(-8.58966e+001dB,-1.66139e+002°)	(3.98580e+001dB,7.82484e+001°)
2.94854e+003	(-4.60386e+001dB,-8.78763e+001°)	(-8.59956e+001dB,-1.66125e+002°)	(3.99570e+001dB,7.82487e+001°)
2.96905e+003	(-4.60386e+001dB,-8.78616e+001°)	(-8.60954e+001dB,-1.66109e+002°)	(4.00568e+001dB,7.82476e+001°)
2.98970e+003	(-4.60385e+001dB,-8.78466e+001°)	(-8.61959e+001dB,-1.66092e+002°)	(4.01574e+001dB,7.82451e+001°)
3.01049e+003	(-4.60385e+001dB,-8.78318e+001°)	(-8.62972e+001dB,-1.66073e+002°)	(4.02587e+001dB,7.82409e+001°)
3.03143e+003	(-4.60385e+001dB,-8.78167e+001°)	(-8.63993e+001dB,-1.66052e+002°)	(4.03608e+001dB,7.82353e+001°)
3.05252e+003	(-4.60385e+001dB,-8.78015e+001°)	(-8.65022e+001dB,-1.66030e+002°)	(4.04637e+001dB,7.82282e+001°)
3.07375e+003	(-4.60385e+001dB,-8.77861e+001°)	(-8.66060e+001dB,-1.66006e+002°)	(4.05675e+001dB,7.82198e+001°)
3.09513e+003	(-4.60385e+001dB,-8.77707e+001°)	(-8.67106e+001dB,-1.65980e+002°)	(4.06721e+001dB,7.82095e+001°)
3.11666e+003	(-4.60385e+001dB,-8.77552e+001°)	(-8.68160e+001dB,-1.65953e+002°)	(4.07775e+001dB,7.81975e+001°)
3.13834e+003	(-4.60385e+001dB,-8.77396e+001°)	(-8.69224e+001dB,-1.65923e+002°)	(4.08839e+001dB,7.81838e+001°)
3.16017e+003	(-4.60384e+001dB,-8.77240e+001°)	(-8.70297e+001dB,-1.65892e+002°)	(4.09913e+001dB,7.81682e+001°)
3.18215e+003	(-4.60385e+001dB,-8.77082e+001°)	(-8.71379e+001dB,-1.65859e+002°)	(4.10995e+001dB,7.81509e+001°)
3.20428e+003	(-4.60384e+001dB,-8.76921e+001°)	(-8.72471e+001dB,-1.65824e+002°)	(4.12086e+001dB,7.81319e+001°)
3.22657e+003	(-4.60384e+001dB,-8.76761e+001°)	(-8.73572e+001dB,-1.65787e+002°)	(4.13188e+001dB,7.81109e+001°)
3.24901e+003	(-4.60384e+001dB,-8.76599e+001°)	(-8.74684e+001dB,-1.65748e+002°)	(4.14300e+001dB,7.80879e+001°)
3.27161e+003	(-4.60384e+001dB,-8.76436e+001°)	(-8.75807e+001dB,-1.65706e+002°)	(4.15422e+001dB,7.80628e+001°)
3.29436e+003	(-4.60384e+001dB,-8.76273e+001°)	(-8.76939e+001dB,-1.65663e+002°)	(4.16555e+001dB,7.80356e+001°)
3.31728e+003	(-4.60384e+001dB,-8.76108e+001°)	(-8.78083e+001dB,-1.65617e+002°)	(4.17699e+001dB,7.80062e+001°)
3.34035e+003	(-4.60384e+001dB,-8.75941e+001°)	(-8.79238e+001dB,-1.65569e+002°)	(4.18854e+001dB,7.79746e+001°)
3.36359e+003	(-4.60384e+001dB,-8.75773e+001°)	(-8.80404e+001dB,-1.65518e+002°)	(4.20020e+001dB,7.79409e+001°)
3.38698e+003	(-4.60384e+001dB,-8.75605e+001°)	(-8.81582e+001dB,-1.65465e+002°)	(4.21198e+001dB,7.79046e+001°)
3.41054e+003	(-4.60383e+001dB,-8.75436e+001°)	(-8.82772e+001dB,-1.65409e+002°)	(4.22388e+001dB,7.78658e+001°)
3.43426e+003	(-4.60383e+001dB,-8.75265e+001°)	(-8.83974e+001dB,-1.65351e+002°)	(4.23590e+001dB,7.78244e+001°)
3.45815e+003	(-4.60383e+001dB,-8.75093e+001°)	(-8.85189e+001dB,-1.65290e+002°)	(4.24806e+001dB,7.77807e+001°)
3.48220e+003	(-4.60383e+001dB,-8.74920e+001°)	(-8.86417e+001dB,-1.65226e+002°)	(4.26034e+001dB,7.77339e+001°)
