Freq.	a	b	gain
1.33793e+003	(-4.60397e+001dB,-8.90365e+001°)	(-8.51624e+001dB,-1.00276e+002°)	(3.91227e+001dB,1.12392e+001°)
1.34723e+003	(-4.60397e+001dB,-8.90298e+001°)	(-8.51752e+001dB,-1.00327e+002°)	(3.91355e+001dB,1.12974e+001°)
1.35660e+003	(-4.60397e+001dB,-8.90231e+001°)	(-8.51881e+001dB,-1.00379e+002°)	(3.91485e+001dB,1.13556e+001°)
1.36604e+003	(-4.60397e+001dB,-8.90163e+001°)	(-8.52013e+001dB,-1.00430e+002°)	(3.91616e+001dB,1.14138e+001°)
1.37554e+003	(-4.60397e+001dB,-8.90094e+001°)	(-8.52146e+001dB,-1.00481e+002°)	(3.91749e+001dB,1.14721e+001°)
1.38511e+003	(-4.60397e+001dB,-8.90025e+001°)	(-8.52280e+001dB,-1.00533e+002°)	(3.91884e+001dB,1.15303e+001°)
1.39474e+003	(-4.60397e+001dB,-8.89956e+001°)	(-8.52417e+001dB,-1.00584e+002°)	(3.92020e+001dB,1.15885e+001°)
1.40444e+003	(-4.60397e+001dB,-8.89886e+001°)	(-8.52555e+001dB,-1.00635e+002°)	(3.92158e+001dB,1.16466e+001°)
1.41421e+003	(-4.60397e+001dB,-8.89816e+001°)	(-8.52695e+001dB,-1.00686e+002°)	(3.92298e+001dB,1.17048e+001°)
1.42405e+003	(-4.60397e+001dB,-8.89745e+001°)	(-8.52837e+001dB,-1.00737e+002°)	(3.92440e+001dB,1.17629e+001°)
1.43396e+003	(-4.60397e+001dB,-8.89674e+001°)	(-8.52980e+001dB,-1.00788e+002°)	(3.92583e+001dB,1.18209e+001°)
1.44393e+003	(-4.60397e+001dB,-8.89602e+001°)	(-8.53125e+001dB,-1.00839e+002°)	(3.92729e+001dB,1.18789e+001°)
1.45397e+003	(-4.60397e+001dB,-8.89529e+001°)	(-8.53273e+001dB,-1.00890e+002°)	(3.92876e+001dB,1.19369e+001°)
1.46409e+003	(-4.60397e+001dB,-8.89457e+001°)	(-8.53422e+001dB,-1.00940e+002°)	(3.93025e+001dB,1.19947e+001°)
1.47427e+003	(-4.60397e+001dB,-8.89383e+001°)	(-8.53573e+001dB,-1.00991e+002°)	(3.93176e+001dB,1.20525e+001°)
1.48452e+003	(-4.60397e+001dB,-8.89309e+001°)	(-8.53726e+001dB,-1.01041e+002°)	(3.93329e+001dB,1.21102e+001°)
1.49485e+003	(-4.60397e+001dB,-8.89235e+001°)	(-8.53881e+001dB,-1.01091e+002°)	(3.93484e+001dB,1.21678e+001°)
1.50525e+003	(-4.60397e+001dB,-8.89160e+001°)	(-8.54038e+001dB,-1.01141e+002°)	(3.93641e+001dB,1.22252e+001°)
1.51572e+003	(-4.60397e+001dB,-8.89085e+001°)	(-8.54197e+001dB,-1.01191e+002°)	(3.93800e+001dB,1.22826e+001°)
1.52626e+003	(-4.60397e+001dB,-8.89009e+001°)	(-8.54358e+001dB,-1.01241e+002°)	(3.93961e+001dB,1.23398e+001°)
1.53688e+003	(-4.60397e+001dB,-8.88933e+001°)	(-8.54521e+001dB,-1.01290e+002°)	(3.94124e+001dB,1.23968e+001°)
1.54756e+003	(-4.60397e+001dB,-8.88856e+001°)	(-8.54686e+001dB,-1.01339e+002°)	(3.94289e+001dB,1.24537e+001°)
1.55833e+003	(-4.60397e+001dB,-8.88778e+001°)	(-8.54853e+001dB,-1.01388e+002°)	(3.94457e+001dB,1.25104e+001°)
1.56917e+003	(-4.60397e+001dB,-8.88700e+001°)	(-8.55023e+001dB,-1.01437e+002°)	(3.94626e+001dB,1.25670e+001°)
1.58008e+003	(-4.60397e+001dB,-8.88621e+001°)	(-8.55194e+001dB,-1.01485e+002°)	(3.94797e+001dB,1.26233e+001°)
1.59107e+003	(-4.60397e+001dB,-8.88542e+001°)	(-8.55368e+001dB,-1.01534e+002°)	(3.94971e+001dB,1.26794e+001°)
1.60214e+003	(-4.60397e+001dB,-8.88463e+001°)	(-8.55543e+001dB,-1.01582e+002°)	(3.95147e+001dB,1.27353e+001°)
1.61328e+003	(-4.60397e+001dB,-8.88382e+001°)	(-8.55722e+001dB,-1.01629e+002°)	(3.95325e+001dB,1.27910e+001°)
1.62450e+003	(-4.60397e+001dB,-8.88302e+001°)	(-8.55902e+001dB,-1.01677e+002°)	(3.95505e+001dB,1.28464e+001°)
1.63580e+003	(-4.60397e+001dB,-8.88220e+001°)	(-8.56084e+001dB,-1.01724e+002°)	(3.95688e+001dB,1.29016e+001°)
