frequency	V(inoise)	V(onoise)
1.479108388168203e+000	1.142850e-007	1.444534e-008
1.513561248436204e+000	1.131306e-007	1.440092e-008
1.548816618912477e+000	1.120171e-007	1.435716e-008
1.584893192461109e+000	1.109433e-007	1.431410e-008
1.621810097358925e+000	1.099080e-007	1.427177e-008
1.659586907437555e+000	1.089102e-007	1.423019e-008
1.698243652461739e+000	1.079486e-007	1.418938e-008
1.737800828749370e+000	1.070222e-007	1.414936e-008
1.778279410038917e+000	1.061300e-007	1.411015e-008
1.819700858609977e+000	1.052709e-007	1.407177e-008
1.862087136662861e+000	1.044439e-007	1.403423e-008
1.905460717963241e+000	1.036479e-007	1.399754e-008
1.949844599758039e+000	1.028820e-007	1.396171e-008
1.995262314968873e+000	1.021452e-007	1.392674e-008
2.041737944669523e+000	1.014366e-007	1.389264e-008
2.089296130854033e+000	1.007552e-007	1.385942e-008
2.137962089502225e+000	1.001001e-007	1.382707e-008
2.187761623949545e+000	9.947052e-008	1.379559e-008
2.238721138568332e+000	9.886552e-008	1.376498e-008
2.290867652767766e+000	9.828427e-008	1.373523e-008
2.344228815319914e+000	9.772596e-008	1.370634e-008
2.398832919019482e+000	9.718978e-008	1.367830e-008
2.454708915685022e+000	9.667496e-008	1.365111e-008
2.511886431509572e+000	9.618073e-008	1.362474e-008
2.570395782768855e+000	9.570637e-008	1.359920e-008
2.630267991895373e+000	9.525115e-008	1.357446e-008
2.691534803926906e+000	9.481438e-008	1.355052e-008
2.754228703338157e+000	9.439538e-008	1.352736e-008
2.818382931264444e+000	9.399349e-008	1.350497e-008
2.884031503126595e+000	9.360809e-008	1.348334e-008
2.951209226666375e+000	9.323853e-008	1.346244e-008
3.019951720402005e+000	9.288425e-008	1.344226e-008
3.090295432513579e+000	9.254464e-008	1.342278e-008
3.162277660168367e+000	9.221915e-008	1.340400e-008
3.235936569296270e+000	9.190722e-008	1.338588e-008
3.311311214825898e+000	9.160836e-008	1.336842e-008
3.388441561392012e+000	9.132202e-008	1.335159e-008
3.467368504525302e+000	9.104774e-008	1.333538e-008
3.548133892335740e+000	9.078502e-008	1.331978e-008
3.630780547700999e+000	9.053342e-008	1.330476e-008
3.715352290971711e+000	9.029249e-008	1.329030e-008
3.801893963205597e+000	9.006180e-008	1.327640e-008
3.890451449942790e+000	8.984093e-008	1.326303e-008
3.981071705534956e+000	8.962950e-008	1.325018e-008
4.073802778041110e+000	8.942713e-008	1.323782e-008
4.168693834703337e+000	8.923342e-008	1.322595e-008
4.265795188015909e+000	8.904805e-008	1.321455e-008
4.365158322401642e+000	8.887066e-008	1.320360e-008
4.466835921509612e+000	8.870092e-008	1.319309e-008
4.570881896148731e+000	8.853851e-008	1.318299e-008
4.677351412871962e+000	8.838314e-008	1.317331e-008
4.786300923226363e+000	8.823451e-008	1.316401e-008
4.897788193684440e+000	8.809233e-008	1.315510e-008
5.011872336272701e+000	8.795633e-008	1.314655e-008
5.128613839913625e+000	8.782626e-008	1.313835e-008
5.248074602497702e+000	8.770186e-008	1.313048e-008
5.370317963702503e+000	8.758290e-008	1.312295e-008
5.495408738576220e+000	8.746914e-008	1.311572e-008
5.623413251903465e+000	8.736036e-008	1.310880e-008
5.754399373371542e+000	8.725635e-008	1.310217e-008
5.888436553555861e+000	8.715691e-008	1.309581e-008
6.025595860743549e+000	8.706184e-008	1.308972e-008
6.165950018614792e+000	8.697094e-008	1.308389e-008
6.309573444801902e+000	8.688405e-008	1.307831e-008
6.456542290346524e+000	8.680099e-008	1.307296e-008
6.606934480075928e+000	8.672159e-008	1.306785e-008
6.760829753919785e+000	8.664571e-008	1.306295e-008
6.918309709189331e+000	8.657317e-008	1.305826e-008
7.079457843841344e+000	8.650384e-008	1.305377e-008
7.244359600749864e+000	8.643757e-008	1.304947e-008
7.413102413009137e+000	8.637425e-008	1.304536e-008
7.585775750291798e+000	8.631373e-008	1.304142e-008
7.762471166286877e+000	8.625589e-008	1.303766e-008
7.943282347242774e+000	8.620062e-008	1.303406e-008
8.128305161640951e+000	8.614781e-008	1.303062e-008
8.317637711026666e+000	8.609734e-008	1.302732e-008
8.511380382023720e+000	8.604912e-008	1.302417e-008
8.709635899560761e+000	8.600304e-008	1.302115e-008
8.912509381337408e+000	8.595902e-008	1.301827e-008
9.120108393559049e+000	8.591694e-008	1.301552e-008
9.332543007969861e+000	8.587676e-008	1.301288e-008
9.549925860214309e+000	8.583835e-008	1.301036e-008
9.772372209558055e+000	8.580167e-008	1.300795e-008
9.999999999999947e+000	8.576661e-008	1.300565e-008
1.023292992280749e+001	8.573312e-008	1.300344e-008
1.047128548050894e+001	8.570113e-008	1.300134e-008
1.071519305237601e+001	8.567056e-008	1.299933e-008
1.096478196143179e+001	8.564137e-008	1.299740e-008
1.122018454301957e+001	8.561347e-008	1.299556e-008
1.148153621496876e+001	8.558683e-008	1.299380e-008
1.174897554939523e+001	8.556137e-008	1.299212e-008
1.202264434617406e+001	8.553705e-008	1.299052e-008
1.230268770812375e+001	8.551383e-008	1.298898e-008
1.258925411794160e+001	8.549164e-008	1.298752e-008
1.288249551693127e+001	8.547044e-008	1.298612e-008
1.318256738556400e+001	8.545019e-008	1.298478e-008
1.348962882591646e+001	8.543085e-008	1.298350e-008
1.380384264602877e+001	8.541237e-008	1.298227e-008
1.412537544622746e+001	8.539473e-008	1.298110e-008
1.445439770745919e+001	8.537787e-008	1.297999e-008
1.479108388168199e+001	8.536178e-008	1.297892e-008
1.513561248436199e+001	8.534639e-008	1.297790e-008
1.548816618912472e+001	8.533171e-008	1.297693e-008
1.584893192461104e+001	8.531768e-008	1.297600e-008
1.621810097358920e+001	8.530428e-008	1.297511e-008
1.659586907437550e+001	8.529148e-008	1.297426e-008
1.698243652461734e+001	8.527925e-008	1.297345e-008
1.737800828749365e+001	8.526757e-008	1.297267e-008
1.778279410038912e+001	8.525642e-008	1.297193e-008
1.819700858609972e+001	8.524577e-008	1.297122e-008
1.862087136662855e+001	8.523560e-008	1.297055e-008
1.905460717963235e+001	8.522588e-008	1.296990e-008
1.949844599758032e+001	8.521660e-008	1.296928e-008
1.995262314968866e+001	8.520774e-008	1.296870e-008
2.041737944669515e+001	8.519927e-008	1.296813e-008
2.089296130854025e+001	8.519118e-008	1.296759e-008
2.137962089502218e+001	8.518346e-008	1.296708e-008
2.187761623949537e+001	8.517608e-008	1.296659e-008
2.238721138568324e+001	8.516904e-008	1.296612e-008
2.290867652767757e+001	8.516231e-008	1.296567e-008
2.344228815319906e+001	8.515589e-008	1.296525e-008
2.398832919019474e+001	8.514975e-008	1.296484e-008
2.454708915685013e+001	8.514389e-008	1.296445e-008
2.511886431509563e+001	8.513830e-008	1.296408e-008
2.570395782768846e+001	8.513295e-008	1.296372e-008
2.630267991895363e+001	8.512784e-008	1.296338e-008
2.691534803926897e+001	8.512297e-008	1.296305e-008
2.754228703338147e+001	8.511831e-008	1.296274e-008
2.818382931264434e+001	8.511386e-008	1.296245e-008
2.884031503126585e+001	8.510961e-008	1.296217e-008
2.951209226666364e+001	8.510556e-008	1.296189e-008
3.019951720401994e+001	8.510168e-008	1.296164e-008
3.090295432513568e+001	8.509799e-008	1.296139e-008
3.162277660168356e+001	8.509445e-008	1.296115e-008
3.235936569296258e+001	8.509107e-008	1.296093e-008
3.311311214825886e+001	8.508785e-008	1.296072e-008
3.388441561392000e+001	8.508478e-008	1.296051e-008
3.467368504525290e+001	8.508184e-008	1.296031e-008
3.548133892335728e+001	8.507903e-008	1.296013e-008
3.630780547700986e+001	8.507634e-008	1.295995e-008
3.715352290971697e+001	8.507379e-008	1.295978e-008
3.801893963205583e+001	8.507134e-008	1.295961e-008
3.890451449942776e+001	8.506900e-008	1.295946e-008
3.981071705534941e+001	8.506677e-008	1.295931e-008
4.073802778041095e+001	8.506465e-008	1.295917e-008
4.168693834703321e+001	8.506261e-008	1.295903e-008
4.265795188015893e+001	8.506067e-008	1.295890e-008
4.365158322401625e+001	8.505882e-008	1.295878e-008
4.466835921509595e+001	8.505704e-008	1.295866e-008
4.570881896148713e+001	8.505535e-008	1.295855e-008
4.677351412871944e+001	8.505373e-008	1.295844e-008
4.786300923226344e+001	8.505219e-008	1.295834e-008
4.897788193684422e+001	8.505071e-008	1.295824e-008
5.011872336272682e+001	8.504931e-008	1.295814e-008
5.128613839913606e+001	8.504797e-008	1.295805e-008
5.248074602497682e+001	8.504668e-008	1.295797e-008
5.370317963702482e+001	8.504546e-008	1.295789e-008
5.495408738576199e+001	8.504428e-008	1.295781e-008
5.623413251903443e+001	8.504317e-008	1.295773e-008
5.754399373371521e+001	8.504210e-008	1.295766e-008
5.888436553555840e+001	8.504108e-008	1.295759e-008
6.025595860743526e+001	8.504011e-008	1.295753e-008
6.165950018614769e+001	8.503918e-008	1.295747e-008
6.309573444801878e+001	8.503829e-008	1.295741e-008
6.456542290346499e+001	8.503743e-008	1.295735e-008
6.606934480075903e+001	8.503662e-008	1.295730e-008
6.760829753919759e+001	8.503586e-008	1.295724e-008
6.918309709189305e+001	8.503512e-008	1.295720e-008
7.079457843841317e+001	8.503441e-008	1.295715e-008
