vin	V(col)	V(em)
4,799999999999992e+000	2,401608e+000	2,296526e+000
4,849999999999992e+000	2,400941e+000	2,297175e+000
4,899999999999992e+000	2,400322e+000	2,297809e+000
4,949999999999991e+000	2,399748e+000	2,298430e+000
4,999999999999991e+000	2,399214e+000	2,299039e+000
5,049999999999991e+000	2,398717e+000	2,299636e+000
5,099999999999991e+000	2,398255e+000	2,300224e+000
5,149999999999991e+000	2,397825e+000	2,300802e+000
5,199999999999990e+000	2,397424e+000	2,301371e+000
5,249999999999990e+000	2,397050e+000	2,301933e+000
5,299999999999990e+000	2,396703e+000	2,302486e+000
5,349999999999990e+000	2,396378e+000	2,303033e+000
5,399999999999990e+000	2,396076e+000	2,303572e+000
5,449999999999990e+000	2,395796e+000	2,304106e+000
5,499999999999989e+000	2,395534e+000	2,304634e+000
5,549999999999989e+000	2,395292e+000	2,305156e+000
5,599999999999989e+000	2,395066e+000	2,305673e+000
5,649999999999989e+000	2,394858e+000	2,306185e+000
5,699999999999989e+000	2,394665e+000	2,306693e+000
5,749999999999989e+000	2,394486e+000	2,307196e+000
5,799999999999988e+000	2,394322e+000	2,307695e+000
5,849999999999988e+000	2,394171e+000	2,308190e+000
5,899999999999988e+000	2,394033e+000	2,308681e+000
5,949999999999988e+000	2,393908e+000	2,309169e+000
6,000000000000000e+000	2,393793e+000	2,309653e+000

