vb	V(col)	V(em)
5,899999999999987e+000	4,159706e+000	4,116933e+000
5,949999999999987e+000	4,164513e+000	4,122545e+000
5,999999999999987e+000	4,169345e+000	4,128142e+000
6,049999999999987e+000	4,174202e+000	4,133727e+000
6,099999999999986e+000	4,179082e+000	4,139299e+000
6,149999999999986e+000	4,183983e+000	4,144861e+000
6,199999999999986e+000	4,188903e+000	4,150412e+000
6,249999999999986e+000	4,193841e+000	4,155954e+000
6,299999999999986e+000	4,198795e+000	4,161487e+000
6,349999999999985e+000	4,203765e+000	4,167012e+000
6,399999999999985e+000	4,208750e+000	4,172529e+000
6,449999999999985e+000	4,213748e+000	4,178039e+000
6,499999999999985e+000	4,218760e+000	4,183542e+000
6,549999999999985e+000	4,223784e+000	4,189039e+000
6,599999999999985e+000	4,228819e+000	4,194530e+000
6,649999999999984e+000	4,233865e+000	4,200015e+000
6,699999999999984e+000	4,238921e+000	4,205494e+000
6,749999999999984e+000	4,243987e+000	4,210969e+000
6,799999999999984e+000	4,249062e+000	4,216440e+000
6,849999999999984e+000	4,254146e+000	4,221906e+000
6,899999999999984e+000	4,259237e+000	4,227367e+000
6,949999999999983e+000	4,264337e+000	4,232825e+000
6,999999999999983e+000	4,269444e+000	4,238279e+000
7,049999999999983e+000	4,274559e+000	4,243730e+000
7,099999999999983e+000	4,279680e+000	4,249177e+000
7,149999999999983e+000	4,284807e+000	4,254620e+000
7,199999999999982e+000	4,289941e+000	4,260061e+000
7,249999999999982e+000	4,295081e+000	4,265498e+000
7,299999999999982e+000	4,300226e+000	4,270933e+000
7,349999999999982e+000	4,305377e+000	4,276365e+000
7,399999999999982e+000	4,310533e+000	4,281795e+000
7,449999999999982e+000	4,315693e+000	4,287222e+000
7,499999999999981e+000	4,320859e+000	4,292647e+000
7,549999999999981e+000	4,326029e+000	4,298069e+000
7,599999999999981e+000	4,331204e+000	4,303490e+000
7,649999999999981e+000	4,336383e+000	4,308908e+000
7,699999999999981e+000	4,341566e+000	4,314325e+000
7,749999999999981e+000	4,346753e+000	4,319739e+000
7,799999999999980e+000	4,351943e+000	4,325152e+000
7,849999999999980e+000	4,357138e+000	4,330563e+000
7,899999999999980e+000	4,362335e+000	4,335972e+000
7,949999999999980e+000	4,367537e+000	4,341380e+000
8,000000000000000e+000	4,372741e+000	4,346786e+000

